Id,Pares,Fecha,Ultimo,Apertura,Maximo,Minimo,Volumen,Porcentaje_variacion
0btc/usd,btc/usd,2023-12-31,42272.5,42141.6,42878.8,41971.4,"35,580",32.0
1btc/usd,btc/usd,2023-12-30,42136.7,42074.7,42592.2,41527.3,"35,180",15.0
2btc/usd,btc/usd,2023-12-29,42072.4,42581.1,43108.0,41459.0,"60,980",-119.0
3btc/usd,btc/usd,2023-12-28,42581.1,43446.5,43782.6,42309.3,"49,840",-199.0
4btc/usd,btc/usd,2023-12-27,43446.5,42514.3,43676.7,42115.3,"50,100",220.00000000000003
5btc/usd,btc/usd,2023-12-26,42513.3,43579.9,43594.9,41796.6,"56,030",-244.0
6btc/usd,btc/usd,2023-12-25,43578.5,42982.0,43792.7,42745.3,"32,670",139.0
7btc/usd,btc/usd,2023-12-24,42981.5,43710.4,43935.7,42748.5,"30,860",-167.0
8btc/usd,btc/usd,2023-12-23,43710.4,43968.9,43994.6,43325.7,"21,290",-59.0
9btc/usd,btc/usd,2023-12-22,43968.9,43865.9,44394.6,43419.3,"44,500",23.0
10btc/usd,btc/usd,2023-12-21,43865.9,43660.3,44241.8,43310.2,"48,960",47.0
11btc/usd,btc/usd,2023-12-20,43662.8,42259.5,44278.7,42217.2,"70,190",332.0
12btc/usd,btc/usd,2023-12-19,42259.3,42659.7,43473.3,41842.7,"55,290",-94.0
13btc/usd,btc/usd,2023-12-18,42659.7,41369.1,42728.0,40554.0,"61,580",312.0
14btc/usd,btc/usd,2023-12-17,41368.7,42271.7,42413.2,41276.9,"35,460",-214.0
15btc/usd,btc/usd,2023-12-16,42271.7,41929.0,42690.3,41698.2,"30,110",82.0
16btc/usd,btc/usd,2023-12-15,41929.0,43025.2,43080.7,41697.9,"45,280",-254.99999999999997
17btc/usd,btc/usd,2023-12-14,43025.9,42886.3,43392.7,41591.2,"59,150",33.0
18btc/usd,btc/usd,2023-12-13,42884.5,41487.0,43417.5,40649.3,"63,110",337.0
19btc/usd,btc/usd,2023-12-12,41487.0,41256.1,42070.9,40691.5,"57,040",56.00000000000001
20btc/usd,btc/usd,2023-11-12,41256.1,43791.0,43806.3,40277.1,"105,190",-579.0
21btc/usd,btc/usd,2023-10-12,43791.0,43716.6,44045.4,43576.8,"23,810",17.0
22btc/usd,btc/usd,2023-09-12,43718.4,44175.5,44361.2,43617.4,"31,670",-103.0
23btc/usd,btc/usd,2023-08-12,44175.5,43288.3,44697.6,43108.4,"58,440",204.99999999999997
24btc/usd,btc/usd,2023-07-12,43289.7,43774.4,44046.4,42860.5,"63,090",-111.00000000000001
25btc/usd,btc/usd,2023-06-12,43776.3,44076.2,44283.7,43466.7,"72,520",-68.0
26btc/usd,btc/usd,2023-05-12,44076.2,41989.6,44424.1,41424.9,"96,840",497.0
27btc/usd,btc/usd,2023-04-12,41987.8,39968.6,42394.4,39968.6,"104,210",505.0
28btc/usd,btc/usd,2023-03-12,39970.2,39456.8,40178.9,39280.3,"35,270",130.0
29btc/usd,btc/usd,2023-02-12,39458.4,38688.2,39673.4,38646.5,"37,090",199.0
30btc/usd,btc/usd,2023-01-12,38688.2,37712.9,38950.8,37618.3,"62,500",259.0
31btc/usd,btc/usd,2023-11-30,37712.9,37857.6,38144.4,37509.2,"33,530",-38.0
32btc/usd,btc/usd,2023-11-29,37855.5,37823.3,38362.9,37607.6,"49,340",9.0
33btc/usd,btc/usd,2023-11-28,37823.3,37244.3,38379.4,36881.1,"57,500",154.0
34btc/usd,btc/usd,2023-11-27,37248.6,37451.8,37563.3,36751.5,"45,240",-54.0
35btc/usd,btc/usd,2023-11-26,37451.8,37786.4,37819.1,37166.3,"29,200",-89.0
36btc/usd,btc/usd,2023-11-25,37787.0,37718.6,37887.4,37599.9,"16,090",18.0
37btc/usd,btc/usd,2023-11-24,37717.3,37295.0,38400.8,37257.4,"65,830",113.99999999999999
38btc/usd,btc/usd,2023-11-23,37293.1,37410.8,37642.5,36915.3,"32,350",-31.0
39btc/usd,btc/usd,2023-11-22,37410.8,35797.5,37862.5,35695.6,"64,810",446.0
40btc/usd,btc/usd,2023-11-21,35813.6,37452.7,37631.2,35799.2,"71,070",-438.0
41btc/usd,btc/usd,2023-11-20,37454.1,37356.6,37735.6,36857.6,"51,800",27.0
42btc/usd,btc/usd,2023-11-19,37354.2,36568.6,37504.6,36393.3,"26,140",215.0
43btc/usd,btc/usd,2023-11-18,36568.6,36617.5,36845.2,36220.6,"20,880",-7.000000000000001
44btc/usd,btc/usd,2023-11-17,36595.4,36161.8,36690.6,35875.2,"51,370",120.0
45btc/usd,btc/usd,2023-11-16,36161.2,37873.9,37907.6,35561.6,"66,920",-451.99999999999994
46btc/usd,btc/usd,2023-11-15,37874.9,35549.3,37954.1,35379.6,"75,510",654.0
47btc/usd,btc/usd,2023-11-14,35549.3,36478.3,36744.5,34984.3,"63,560",-254.99999999999997
48btc/usd,btc/usd,2023-11-13,36478.3,37067.8,37404.6,36358.4,"44,550",-158.0
49btc/usd,btc/usd,2023-12-11,37064.4,37149.0,37215.3,36761.9,"21,450",-23.0
50btc/usd,btc/usd,2023-11-11,37150.5,37306.3,37401.3,36767.6,"29,530",-41.0
51btc/usd,btc/usd,2023-10-11,37303.0,36700.5,37496.1,36347.2,"59,560",164.0
52btc/usd,btc/usd,2023-09-11,36700.5,35636.9,37942.0,35578.1,"115,560",298.0
53btc/usd,btc/usd,2023-08-11,35636.9,35426.2,36050.2,35148.8,"46,330",60.0
54btc/usd,btc/usd,2023-07-11,35426.1,35042.1,35877.9,34536.9,"53,490",110.00000000000001
55btc/usd,btc/usd,2023-06-11,35042.0,35020.3,35275.6,34742.9,"29,810",6.0
56btc/usd,btc/usd,2023-05-11,35019.4,35065.8,35360.2,34550.0,"31,020",-13.0
57btc/usd,btc/usd,2023-04-11,35065.8,34718.6,35242.2,34601.1,"23,800",100.0
58btc/usd,btc/usd,2023-03-11,34718.7,34931.4,34940.6,34124.2,"54,540",-61.0
59btc/usd,btc/usd,2023-02-11,34931.4,35423.8,35907.6,34357.4,"63,660",-139.0
60btc/usd,btc/usd,2023-01-11,35423.8,34648.3,35557.5,34138.7,"71,660",223.0
61btc/usd,btc/usd,2023-10-31,34650.6,34478.9,34704.6,34053.9,"43,400",50.0
62btc/usd,btc/usd,2023-10-30,34477.9,34526.7,34853.3,34089.5,"45,200",-14.000000000000002
63btc/usd,btc/usd,2023-10-29,34526.7,34082.6,34737.9,33937.6,"27,720",130.0
64btc/usd,btc/usd,2023-10-28,34082.6,33901.6,34387.8,33867.3,"22,000",53.0
65btc/usd,btc/usd,2023-10-27,33901.8,34153.7,34245.8,33423.6,"47,330",-74.0
66btc/usd,btc/usd,2023-10-26,34153.7,34497.6,34826.0,33749.9,"56,620",-99.0
67btc/usd,btc/usd,2023-10-25,34496.8,33917.0,35123.9,33713.4,"75,810",171.0
68btc/usd,btc/usd,2023-10-24,33917.0,33037.3,35191.4,32866.5,"159,080",265.0
69btc/usd,btc/usd,2023-10-23,33041.8,29984.2,34375.6,29891.4,"133,460",1019.9999999999999
70btc/usd,btc/usd,2023-10-22,29984.2,29912.7,30193.4,29713.6,"29,070",24.0
71btc/usd,btc/usd,2023-10-21,29912.9,29674.7,30264.8,29469.1,"34,680",80.0
72btc/usd,btc/usd,2023-10-20,29674.5,28724.0,30165.9,28586.1,"82,680",331.0
73btc/usd,btc/usd,2023-10-19,28723.0,28321.8,28883.8,28170.2,"50,100",142.0
74btc/usd,btc/usd,2023-10-18,28321.7,28405.2,28876.0,28169.0,"45,010",-28.999999999999996
75btc/usd,btc/usd,2023-10-17,28403.6,28508.3,28608.5,28096.9,"53,420",-37.0
76btc/usd,btc/usd,2023-10-16,28509.7,27161.2,29969.5,27119.7,"119,180",496.0
77btc/usd,btc/usd,2023-10-15,27161.2,26852.8,27286.9,26812.6,"21,950",114.99999999999999
78btc/usd,btc/usd,2023-10-14,26852.8,26863.5,26975.7,26805.1,"13,560",-4.0
79btc/usd,btc/usd,2023-10-13,26863.5,26761.1,27114.8,26682.9,"33,660",38.0
80btc/usd,btc/usd,2023-12-10,26761.1,26878.2,26942.8,26565.3,"32,750",-43.0
81btc/usd,btc/usd,2023-11-10,26876.6,27391.9,27475.9,26558.4,"55,780",-188.0
82btc/usd,btc/usd,2023-10-10,27391.0,27581.5,27728.1,27300.1,"34,320",-69.0
83btc/usd,btc/usd,2023-09-10,27581.4,27922.7,27986.4,27279.5,"44,810",-122.0
84btc/usd,btc/usd,2023-08-10,27922.7,27961.1,28097.5,27714.4,"24,110",-14.000000000000002
85btc/usd,btc/usd,2023-07-10,27961.1,27935.5,28021.3,27859.0,"17,290",9.0
86btc/usd,btc/usd,2023-06-10,27936.9,27410.3,28223.6,27195.7,"52,510",192.0
87btc/usd,btc/usd,2023-05-10,27410.3,27783.5,28089.1,27371.7,"46,260",-137.0
88btc/usd,btc/usd,2023-04-10,27790.9,27428.7,27832.7,27242.5,"40,930",132.0
89btc/usd,btc/usd,2023-03-10,27428.4,27501.6,27670.8,27194.1,"44,060",-28.000000000000004
90btc/usd,btc/usd,2023-02-10,27505.3,27974.6,28556.6,27325.2,"84,300",-168.0
91btc/usd,btc/usd,2023-01-10,27974.5,26962.5,28038.4,26955.7,"35,110",375.0
92btc/usd,btc/usd,2023-09-30,26962.7,26908.1,27085.7,26887.5,"17,550",20.0
93btc/usd,btc/usd,2023-09-29,26909.8,27022.6,27229.5,26728.8,"42,240",-42.0
94btc/usd,btc/usd,2023-09-28,27022.6,26368.2,27283.6,26339.4,"64,560",249.00000000000003
95btc/usd,btc/usd,2023-09-27,26366.1,26218.9,26836.9,26109.1,"50,800",56.00000000000001
96btc/usd,btc/usd,2023-09-26,26218.9,26303.1,26396.2,26093.4,"26,410",-32.0
97btc/usd,btc/usd,2023-09-25,26302.7,26251.6,26423.6,26013.6,"38,200",20.0
98btc/usd,btc/usd,2023-09-24,26251.5,26579.0,26727.6,26162.2,"22,320",-123.0
99btc/usd,btc/usd,2023-09-23,26579.2,26581.7,26636.2,26517.5,"12,920",-1.0
100btc/usd,btc/usd,2023-09-22,26581.9,26569.5,26736.4,26488.5,"28,790",4.0
101btc/usd,btc/usd,2023-09-21,26570.0,27125.2,27155.6,26382.3,"47,810",-204.99999999999997
102btc/usd,btc/usd,2023-09-20,27125.0,27209.2,27378.6,26851.8,"47,230",-31.0
103btc/usd,btc/usd,2023-09-19,27209.2,26759.0,27480.7,26672.2,"52,170",167.0
104btc/usd,btc/usd,2023-09-18,26763.5,26530.3,27413.3,26405.2,"63,350",88.0
105btc/usd,btc/usd,2023-09-17,26529.1,26562.0,26614.4,26408.7,"16,570",-12.0
106btc/usd,btc/usd,2023-09-16,26562.0,26599.9,26769.0,26463.5,"18,450",-15.0
107btc/usd,btc/usd,2023-09-15,26601.0,26523.3,26837.4,26233.1,"36,470",28.999999999999996
108btc/usd,btc/usd,2023-09-14,26524.7,26223.0,26760.3,26148.6,"53,820",114.99999999999999
109btc/usd,btc/usd,2023-09-13,26223.0,25836.1,26382.3,25766.9,"42,580",150.0
110btc/usd,btc/usd,2023-12-09,25834.5,25166.4,26472.6,25133.5,"78,710",265.0
111btc/usd,btc/usd,2023-11-09,25166.4,25840.2,25897.4,24923.1,"56,320",-261.0
112btc/usd,btc/usd,2023-10-09,25840.2,25901.1,25995.1,25626.7,"23,600",-24.0
113btc/usd,btc/usd,2023-09-09,25901.1,25909.5,25938.5,25814.3,"13,480",-3.0
